Date,LIVEPOLC1,MEXBOL,CETES91
17/09/2015,216.929993,43790.92969,3.302993
18/09/2015,205.889999,43565.05078,3.285811
21/09/2015,207.020004,43618.14063,3.24863
22/09/2015,211.210007,43232.05859,3.185358
23/09/2015,206.630005,43042.35938,3.171153
24/09/2015,211.089996,42596.55859,3.181353
25/09/2015,212.630005,42435.23047,3.170005
28/09/2015,211.630005,41893.51172,3.151308
29/09/2015,214.009995,42121.51172,3.150001
30/09/2015,219.529999,42632.53906,3.130016
01/10/2015,220.009995,42695.73828,3.125042
02/10/2015,220.289993,42735.14844,3.090007
05/10/2015,224.320007,43566.32031,3.080151
06/10/2015,228.710007,43561.42188,3.075354
07/10/2015,229.050003,43832.03125,3.079304
08/10/2015,236.199997,44076.94141,3.120059
09/10/2015,239.190002,44375.62109,3.126691
12/10/2015,247.630005,44314.25,3.120011
13/10/2015,242.100006,44318.19141,3.118431
14/10/2015,236.919998,44064.42969,3.100017
15/10/2015,236.539993,44087.58984,3.090001
16/10/2015,242.160004,44364.16016,3.101747
19/10/2015,242.169998,44523.01172,3.110014
20/10/2015,240.309998,44653.85938,3.132112
21/10/2015,240.949997,44426.07031,3.120002
22/10/2015,238.470001,44627.96875,3.121144
23/10/2015,240.410004,45010.23828,3.124416
26/10/2015,243.729996,45036.51953,3.130009
27/10/2015,238.460007,44698.01172,3.146262
28/10/2015,238.990005,44741.67969,3.118627
29/10/2015,232.649994,44634.80859,3.153055
30/10/2015,229.389999,44542.76172,3.124903
03/11/2015,228.350006,45354.58984,3.119918
04/11/2015,223.320007,45373.17188,3.167929
05/11/2015,227.669998,45195.64844,3.165756
06/11/2015,227.039993,45243.85156,3.169314
09/11/2015,226.369995,44479.23047,3.160004
10/11/2015,223.210007,44359.89063,3.15425
11/11/2015,227.210007,44347.91016,3.213287
12/11/2015,226.270004,44120.51953,3.189795
13/11/2015,226.350006,43617.73047,3.185325
17/11/2015,224.350006,44184.64844,3.192073
18/11/2015,217.089996,44505.58984,3.167886
19/11/2015,226.169998,44620.60156,3.210017
20/11/2015,229.570007,44895.01953,3.203614
23/11/2015,234.25,44779.14063,3.215638
24/11/2015,233.979996,44576.23047,3.214558
25/11/2015,229.190002,44138.75,3.210707
26/11/2015,231.149994,44374.51953,3.219667
27/11/2015,228.330002,44247.98047,3.227514
30/11/2015,219.190002,43418.55078,3.240014
01/12/2015,222.029999,43984.89844,3.259279
02/12/2015,216.550003,43417.05078,3.259988
03/12/2015,213.169998,43027.30078,3.276568
04/12/2015,217.190002,42994.23047,3.296871
07/12/2015,216.020004,42655.23828,3.290245
08/12/2015,212.889999,42236.73828,3.293633
09/12/2015,215.589996,42398.05859,3.304161
10/12/2015,213.990005,42447.76953,3.286582
11/12/2015,208.210007,42000.62891,3.281949
14/12/2015,210.199997,41901.96094,3.273388
15/12/2015,213.009995,42905.19922,3.278709
16/12/2015,214.289993,43429.71875,3.259988
17/12/2015,212.399994,43503.51953,3.240897
18/12/2015,207.600006,42936.62891,3.251294
21/12/2015,207.289993,43160.60938,3.250017
22/12/2015,212.080002,43328.71875,3.235854
23/12/2015,215.580002,43579.67188,3.250011
24/12/2015,213.179993,43528.26953,3.283453
28/12/2015,211.399994,43396.16016,3.277901
29/12/2015,212.139999,43391.78125,3.302656
30/12/2015,206.779999,43012.37109,3.286917
31/12/2015,210.110001,42977.5,3.250629
04/01/2016,209.830002,42113.69922,3.260021
05/01/2016,210.419998,42041.67969,3.260639
06/01/2016,206.979996,41691.19141,3.267687
07/01/2016,209.600006,40661.57031,3.267237
08/01/2016,208.429993,40265.37109,3.263897
11/01/2016,207.460007,40706.89063,3.263257
12/01/2016,203.440002,41022.73828,3.272629
